Date,Open,High,Low,Close,Volume,Adj Close
2014-05-06,601.799995,604.409988,594.410027,594.410027,93641100,81.817764
2014-05-05,590.140022,600.999977,589.999992,600.959976,71766800,82.719334
2014-05-02,592.340019,594.199982,589.709999,592.580025,47878600,81.565873
2014-05-01,591.999985,594.799995,586.360016,591.480026,61012000,81.414463
2014-04-30,592.639999,599.430008,589.799988,590.089981,114160200,81.22313
2014-04-29,593.739998,595.979996,589.509995,592.329979,84344400,81.531455
2014-04-28,572.800026,595.749977,572.54998,594.090019,167371400,81.773717
2014-04-25,564.529984,571.990021,563.959984,571.93998,97568800,78.724867
2014-04-24,568.210014,570.000015,560.730003,567.770004,189977900,78.150889
2014-04-23,529.060013,531.13002,524.449974,524.750008,98735000,72.229388
2014-04-22,528.309982,531.830009,526.500008,531.70002,50640800,73.186025
2014-04-21,525.339981,532.139977,523.959976,531.170021,45637200,73.113073
2014-04-17,519.999992,527.76001,519.199974,524.940025,71083600,72.255543
2014-04-16,518.049988,521.090004,514.139992,519.01001,53691400,71.439304
2014-04-15,520.270012,521.639977,511.329994,517.959999,66622500,71.294775
2014-04-14,521.900009,522.159988,517.210022,521.679977,51418500,71.806813
2014-04-11,519.000023,522.830017,517.140007,519.610023,67929400,71.521893
2014-04-10,530.680023,532.240005,523.169998,523.480019,59913000,72.05458
2014-04-09,522.639999,530.490005,522.020012,530.320015,51542400,72.996073
2014-04-08,525.190018,526.120026,518.699989,523.440018,60972100,72.049074
2014-04-07,528.019989,530.900002,521.890022,523.469978,72462600,72.053198
2014-04-04,539.810005,540.000023,530.579994,531.820023,68812800,73.202542
2014-04-03,541.390015,542.50,537.640022,538.790009,40586000,74.161928
2014-04-02,542.379997,543.479996,540.260002,542.549988,45105200,74.679472
2014-04-01,537.760025,541.870026,536.769989,541.649994,50190000,74.555592
2014-03-31,539.230019,540.809975,535.930023,536.739975,42167300,73.879751
2014-03-28,538.319984,538.940025,534.249985,536.859978,50141000,73.896269
2014-03-27,540.019997,541.499977,535.120018,537.459991,55507900,73.978858
2014-03-26,546.520012,549.000015,538.860023,539.779991,74942000,74.298195
2014-03-25,541.499977,545.750008,539.589973,544.98999,70573300,75.015327
2014-03-24,538.420013,540.500008,535.05999,539.190018,88925200,74.216988
2014-03-21,531.929985,533.75,526.330017,532.86998,93511600,73.347064
2014-03-20,529.889992,532.669975,527.350014,528.700005,52099600,72.773086
2014-03-19,532.259979,536.23999,528.999985,531.26001,56189000,73.125459
2014-03-18,525.899994,531.969986,525.200005,531.399986,52411800,73.144726
2014-03-17,527.699982,529.969994,525.850006,526.740013,49886200,72.503303
2014-03-14,528.789993,530.890015,523.000008,524.68998,59299800,72.221125
2014-03-13,537.440018,539.659988,529.159988,530.650009,64435700,73.041495
2014-03-12,534.510017,537.349976,532.00,536.609985,49831600,73.861858
2014-03-11,535.450012,538.740021,532.589973,536.089973,69806100,73.790281
2014-03-10,528.360023,533.330017,528.339996,530.919975,44646000,73.078655
2014-03-07,531.090019,531.980026,526.050011,530.440018,55182400,73.012591
2014-03-06,532.789978,534.440002,528.099991,530.749985,46372200,73.055257
2014-03-05,530.919975,534.750023,529.129974,532.360008,50015700,73.276869
2014-03-04,530.999977,532.640015,527.769997,531.239983,64785000,73.122703
2014-03-03,523.419991,530.650009,522.80999,527.76001,59695300,72.643701
